asset_class,component_var,historical_es_contribution
US Equity,47472.447776060144,47469.59625910497
International Equity,10200.184761558434,9379.770071506575
Emerging Markets Equity,6610.5290444849115,7320.875213538228
Real Estate,3667.659152035198,4552.127734107973
Investment Grade Credit,2399.8345484870642,4264.938694420148
High Yield Credit,3823.486566701329,5508.642369933623
Inflation-Linked Bonds,1707.703991098459,3304.809173401686
Government Bonds,3503.753971878838,2970.206999519366
Precious Metals,4893.6235282786765,3831.4589644623934
Commodities,3544.6878338879833,4357.01364717801
Cash,0.0,0.0
FX,1861.2467692110315,1051.5203750364788
