portfolio_date,portfolio_pnl,portfolio_loss,position_pnl_sum,nav,funded_market_value,gross_funded_exposure,overlay_notional,rebalanced,holdings_version
2023-01-04,-9760.842102128277,9760.842102128277,-9760.842102128277,9990239.157897871,9990239.157897871,9990239.157897871,749267.9368423403,True,1
2023-01-05,-26292.460367427786,26292.460367427786,-26292.460367427786,9963946.697530443,9963946.697530443,9963946.697530443,749267.9368423403,False,1
2023-01-06,36005.55301830576,-36005.55301830576,36005.55301830576,9999952.25054875,9999952.25054875,9999952.25054875,749267.9368423403,False,1
2023-01-09,-14481.01462021275,14481.01462021275,-14481.01462021275,9985471.235928535,9985471.235928535,9985471.235928535,749267.9368423403,False,1
2023-01-10,-34018.07987659437,34018.07987659437,-34018.07987659437,9951453.156051941,9951453.156051941,9951453.156051941,749267.9368423403,False,1
2023-01-11,6148.726665269935,-6148.726665269935,6148.726665269935,9957601.88271721,9957601.88271721,9957601.88271721,749267.9368423403,False,1
2023-01-12,82704.5509191744,-82704.5509191744,82704.5509191744,10040306.433636386,10040306.433636386,10040306.433636386,749267.9368423403,False,1
2023-01-13,52478.40118463385,-52478.40118463385,52478.40118463385,10092784.83482102,10092784.83482102,10092784.83482102,749267.9368423403,False,1
2023-01-16,46842.847094253004,-46842.847094253004,46842.847094253004,10139627.681915274,10139627.681915274,10139627.681915274,749267.9368423403,False,1
2023-01-17,9533.13989802004,-9533.13989802004,9533.13989802004,10149160.821813295,10149160.821813295,10149160.821813295,749267.9368423403,False,1
2023-01-18,16112.346166508136,-16112.346166508136,16112.346166508136,10165273.167979803,10165273.167979803,10165273.167979803,749267.9368423403,False,1
2023-01-19,-36640.36746913172,36640.36746913172,-36640.36746913172,10128632.800510671,10128632.800510671,10128632.800510671,749267.9368423403,False,1
2023-01-20,-73984.19980497907,73984.19980497907,-73984.19980497907,10054648.600705693,10054648.600705693,10054648.600705693,749267.9368423403,False,1
2023-01-23,20035.729590066356,-20035.729590066356,20035.729590066356,10074684.330295756,10074684.330295756,10074684.330295756,749267.9368423403,False,1
2023-01-24,-35527.085762305775,35527.085762305775,-35527.085762305775,10039157.244533451,10039157.244533451,10039157.244533451,749267.9368423403,False,1
2023-01-25,14592.735182767965,-14592.735182767965,14592.735182767965,10053749.979716219,10053749.979716219,10053749.979716219,749267.9368423403,False,1
