factor,exposure,marginal_volatility,component_volatility,component_var,component_share,historical_es_contribution
SPY_RETURN,899002.4372640282,0.008050887951476056,7237.767890516573,16837.56594490429,0.18774082948571563,16092.365371846525
QQQ_RETURN,435709.63084834616,0.0095338950416389,4154.009889139363,9663.672074343986,0.10775107382218474,10044.337576368942
IWM_RETURN,363081.2269630355,0.008153461590389804,2960.3688382347127,6886.847753204078,0.07678915788416946,7591.6029116893815
EFA_RETURN,630657.9629394623,0.006952475972322911,4384.634334090724,10200.184761558434,0.11373325303127252,9379.770071506575
EEM_RETURN,359806.6559433146,0.007897549681365237,2841.5909409982155,6610.529044484911,0.07370817196571144,7320.875213538228
VNQ_RETURN,276421.03333196766,0.00570352335337357,1576.5738189725316,3667.659152035198,0.04089482848810179,4552.127734107973
AAPL_RETURN,177623.0212473835,0.009375181990362193,1665.2481498721909,3873.946493205615,0.04319495646802858,3855.105527672229
MSFT_RETURN,181085.48003751755,0.008317158478944906,1506.1166357078478,3503.751233536495,0.039067236027355616,4117.168168585831
JPM_RETURN,184261.66986169585,0.006670441094246338,1229.1066147399079,2859.3295601697196,0.0318818590024142,2554.0835323117826
JNJ_RETURN,179819.84046690527,0.003180066352948726,571.8390242614131,1330.296498384127,0.014832961538847807,615.4864055448411
XOM_RETURN,184378.67923112045,0.005868193852199987,1081.9698319408144,2517.0382183118395,0.02806527050877713,2599.446765085434
LQD_RETURN,545661.2367044097,0.0018905298551200231,1031.5888587714003,2399.8345484870642,0.02675843588293666,4264.938694420148
HYG_RETURN,360171.3440489262,0.0045632656721659465,1643.5575303963356,3823.4865667013296,0.042632322386077455,5508.642369933623
TIP_RETURN,458279.74651426857,0.001601796244376834,734.0707768405229,1707.7039910984588,0.01904109922146554,3304.809173401686
DGS2_CHANGE,-877517.2911347018,-8.647486754865097e-05,75.88319152252433,176.53070127385843,0.001968337964958607,119.98322994010326
DGS5_CHANGE,-2482577.990723795,-0.00010033030027956544,249.07779527675854,579.441599512867,0.006460841601870492,799.4912967780659
DGS10_CHANGE,-4442014.1565226065,-0.00012392348167760442,550.4698599374886,1280.5843883891362,0.014278665698434528,906.4820412686483
DGS30_CHANGE,-4574982.837753485,-0.00013785559169004948,630.6869660703284,1467.1972827029763,0.016359421294929368,1144.2504315325484
GLD_RETURN,544670.8393026176,0.0018025921396359868,981.8193736158341,2284.0534125033055,0.0254674626757928,1284.6361996687585
SLV_RETURN,184966.93806110535,0.004036086081274863,746.542484204457,1736.7175210102064,0.01936460347319431,1983.9552843028493
PPLT_RETURN,95176.41495310684,0.00394218414671299,375.202954169115,872.8525947651636,0.00973240851416321,562.8674804907856
DBC_RETURN,360570.3039784714,0.0024541162445795364,884.881440306548,2058.542057435335,0.022952984692606548,3274.616203386948
USO_RETURN,160835.2390128657,0.0039719662044935345,638.8321338507426,1486.1457764526488,0.016570699216317108,1082.397443791062
EURUSD_RETURN,462202.87197032874,0.0017309983705034934,800.0724182226738,1861.2467692110317,0.020753119154674447,1051.5203750364788
