portfolio_date,position_id,name,instrument_type,asset_class,factor,target_weight,target_notional_fraction_of_nav,start_market_value,start_notional,position_pnl,pretrade_market_value,end_market_value,end_notional,modified_duration,convexity,holdings_version,rebalanced
2023-01-04,SPY,SPDR S&P 500 ETF Trust,etf,US Equity,SPY_RETURN,0.1,,1000000.0,0.0,2849.743569374,1002849.743569374,1003004.2146611996,0.0,0.0,0.0,1,True
2023-01-04,QQQ,Invesco QQQ Trust,etf,US Equity,QQQ_RETURN,0.05,,500000.0,0.0,-2829.9907993756,497170.0092006244,501502.1073305998,0.0,0.0,0.0,1,True
2023-01-04,IWM,iShares Russell 2000 ETF,etf,US Equity,IWM_RETURN,0.04,,400000.0,0.0,4035.7223103054403,404035.72231030546,401201.68586447986,0.0,0.0,0.0,1,True
2023-01-04,EFA,iShares MSCI EAFE ETF,etf,International Equity,EFA_RETURN,0.07,,700000.0000000001,0.0,-5139.3989551142,694860.6010448859,702102.9502628398,0.0,0.0,0.0,1,True
2023-01-04,EEM,iShares MSCI Emerging Markets ETF,etf,Emerging Markets Equity,EEM_RETURN,0.04,,400000.0,0.0,3473.1692571172002,403473.1692571172,401201.68586447986,0.0,0.0,0.0,1,True
2023-01-04,VNQ,Vanguard Real Estate ETF,etf,Real Estate,VNQ_RETURN,0.03,,300000.0,0.0,5461.733201914621,305461.73320191464,300901.26439835987,0.0,0.0,0.0,1,True
2023-01-04,AAPL,Apple Inc.,equity,US Equity,AAPL_RETURN,0.02,,200000.0,0.0,-2540.31997238926,197459.68002761074,200600.84293223993,0.0,0.0,0.0,1,True
2023-01-04,MSFT,Microsoft Corporation,equity,US Equity,MSFT_RETURN,0.02,,200000.0,0.0,-877.2529743819999,199122.747025618,200600.84293223993,0.0,0.0,0.0,1,True
2023-01-04,JPM,JPMorgan Chase & Co.,equity,US Equity,JPM_RETURN,0.02,,200000.0,0.0,-875.07234721132,199124.92765278867,200600.84293223993,0.0,0.0,0.0,1,True
2023-01-04,JNJ,Johnson & Johnson,equity,US Equity,JNJ_RETURN,0.02,,200000.0,0.0,1496.1060697074,201496.1060697074,200600.84293223993,0.0,0.0,0.0,1,True
