forecast_date,realized_date,expected_next_date,max_input_date,confidence,lookback,holdings_version,model_version,hypothetical_pnl,realized_loss,principal_contributor,model,var,es,exception,breach_magnitude,seed
2023-12-19,2023-12-20,2023-12-20,2023-12-19,0.99,250,12,1.1.0,40807.10000954712,-40807.10000954712,US30Y,Historical,101488.60450531647,110945.2778091137,False,0.0,
2023-12-19,2023-12-20,2023-12-20,2023-12-19,0.99,250,12,1.1.0,40807.10000954712,-40807.10000954712,US30Y,Parametric Normal,90651.88533895805,103856.64869926796,False,0.0,
2023-12-19,2023-12-20,2023-12-20,2023-12-19,0.99,250,12,1.1.0,40807.10000954712,-40807.10000954712,US30Y,Monte Carlo Normal,90138.24862561899,102394.45066765203,False,0.0,249000789.0
2023-12-20,2023-12-21,2023-12-21,2023-12-20,0.99,250,12,1.1.0,-9164.931948054062,9164.931948054062,EEM,Historical,102326.00532940988,112265.80249011252,False,0.0,
2023-12-20,2023-12-21,2023-12-21,2023-12-20,0.99,250,12,1.1.0,-9164.931948054062,9164.931948054062,EEM,Parametric Normal,91511.86987432226,104841.902469139,False,0.0,
2023-12-20,2023-12-21,2023-12-21,2023-12-20,0.99,250,12,1.1.0,-9164.931948054062,9164.931948054062,EEM,Monte Carlo Normal,91498.0722808187,105020.70473978866,False,0.0,250000792.0
2023-12-21,2023-12-22,2023-12-22,2023-12-21,0.99,250,12,1.1.0,-28660.27356936178,28660.27356936178,EFA,Historical,102105.4256714889,111920.29409764596,False,0.0,
2023-12-21,2023-12-22,2023-12-22,2023-12-21,0.99,250,12,1.1.0,-28660.27356936178,28660.27356936178,EFA,Parametric Normal,91235.39902545909,104525.15962679645,False,0.0,
2023-12-21,2023-12-22,2023-12-22,2023-12-21,0.99,250,12,1.1.0,-28660.27356936178,28660.27356936178,EFA,Monte Carlo Normal,90169.85083166155,102011.26590003424,False,0.0,251000795.0
2023-12-22,2023-12-25,2023-12-25,2023-12-22,0.99,250,12,1.1.0,44123.59246686107,-44123.59246686107,GLD,Historical,101936.38731926464,111637.72749579161,False,0.0,
2023-12-22,2023-12-25,2023-12-25,2023-12-22,0.99,250,12,1.1.0,44123.59246686107,-44123.59246686107,GLD,Parametric Normal,91001.08655467724,104256.71614244024,False,0.0,
2023-12-22,2023-12-25,2023-12-25,2023-12-22,0.99,250,12,1.1.0,44123.59246686107,-44123.59246686107,GLD,Monte Carlo Normal,90697.87872511822,103556.1135051666,False,0.0,252000798.0
2023-12-25,2023-12-26,2023-12-26,2023-12-25,0.99,250,12,1.1.0,26729.8931808413,-26729.8931808413,USO,Historical,102903.96015404524,113188.28800947266,False,0.0,
2023-12-25,2023-12-26,2023-12-26,2023-12-25,0.99,250,12,1.1.0,26729.8931808413,-26729.8931808413,USO,Parametric Normal,91749.83135294559,105114.52649231216,False,0.0,
2023-12-25,2023-12-26,2023-12-26,2023-12-25,0.99,250,12,1.1.0,26729.8931808413,-26729.8931808413,USO,Monte Carlo Normal,92837.47324364,105974.52164706102,False,0.0,253000801.0
2023-12-26,2023-12-27,2023-12-27,2023-12-26,0.99,250,12,1.1.0,-78457.04285570822,78457.04285570822,SPY,Historical,103000.42234986361,113410.69058116767,False,0.0,
2023-12-26,2023-12-27,2023-12-27,2023-12-26,0.99,250,12,1.1.0,-78457.04285570822,78457.04285570822,SPY,Parametric Normal,91920.92405202554,105310.54132727026,False,0.0,
2023-12-26,2023-12-27,2023-12-27,2023-12-26,0.99,250,12,1.1.0,-78457.04285570822,78457.04285570822,SPY,Monte Carlo Normal,93019.37178904504,104356.74682069292,False,0.0,254000804.0
2023-12-27,2023-12-28,2023-12-28,2023-12-27,0.99,250,12,1.1.0,23425.10643710721,-23425.10643710721,USO,Historical,101568.8461602941,110783.7049804068,False,0.0,
2023-12-27,2023-12-28,2023-12-28,2023-12-27,0.99,250,12,1.1.0,23425.10643710721,-23425.10643710721,USO,Parametric Normal,91101.32155946002,104371.55183107672,False,0.0,
2023-12-27,2023-12-28,2023-12-28,2023-12-27,0.99,250,12,1.1.0,23425.10643710721,-23425.10643710721,USO,Monte Carlo Normal,91838.14672075173,105481.25434970984,False,0.0,255000807.0
2023-12-28,2023-12-29,2023-12-29,2023-12-28,0.99,250,12,1.1.0,76908.3433954112,-76908.3433954112,GLD,Historical,101876.99041267339,111797.30063561407,False,0.0,
2023-12-28,2023-12-29,2023-12-29,2023-12-28,0.99,250,12,1.1.0,76908.3433954112,-76908.3433954112,GLD,Parametric Normal,91515.77869075559,104846.38066144164,False,0.0,
2023-12-28,2023-12-29,2023-12-29,2023-12-28,0.99,250,12,1.1.0,76908.3433954112,-76908.3433954112,GLD,Monte Carlo Normal,91205.68062660641,106158.86252184719,False,0.0,256000810.0
2023-12-29,2024-01-01,2024-01-01,2023-12-29,0.99,250,12,1.1.0,-20334.429897502854,20334.429897502854,SPY,Historical,103344.3743355422,114314.5732617691,False,0.0,
2023-12-29,2024-01-01,2024-01-01,2023-12-29,0.99,250,12,1.1.0,-20334.429897502854,20334.429897502854,SPY,Parametric Normal,93588.8428043345,107221.41666394711,False,0.0,
2023-12-29,2024-01-01,2024-01-01,2023-12-29,0.99,250,12,1.1.0,-20334.429897502854,20334.429897502854,SPY,Monte Carlo Normal,93109.64200073821,108436.27535956382,False,0.0,257000813.0
2024-01-01,2024-01-02,2024-01-02,2024-01-01,0.99,250,13,1.1.0,19891.774350027612,-19891.774350027612,JPM,Historical,104400.6664588439,118291.28330204403,False,0.0,
2024-01-01,2024-01-02,2024-01-02,2024-01-01,0.99,250,13,1.1.0,19891.774350027612,-19891.774350027612,JPM,Parametric Normal,94923.41236050137,108750.38565385068,False,0.0,
2024-01-01,2024-01-02,2024-01-02,2024-01-01,0.99,250,13,1.1.0,19891.774350027612,-19891.774350027612,JPM,Monte Carlo Normal,93407.76532898001,110943.49048573039,False,0.0,258000816.0
2024-01-02,2024-01-03,2024-01-03,2024-01-02,0.99,250,13,1.1.0,-51829.67033962647,51829.67033962647,SPY,Historical,104519.8563901782,118367.87103003109,False,0.0,
2024-01-02,2024-01-03,2024-01-03,2024-01-02,0.99,250,13,1.1.0,-51829.67033962647,51829.67033962647,SPY,Parametric Normal,95121.27461793869,108977.06942203348,False,0.0,
2024-01-02,2024-01-03,2024-01-03,2024-01-02,0.99,250,13,1.1.0,-51829.67033962647,51829.67033962647,SPY,Monte Carlo Normal,94518.3599824482,107616.1039886871,False,0.0,259000819.0
2024-01-03,2024-01-04,2024-01-04,2024-01-03,0.99,250,13,1.1.0,-27825.367166787306,27825.367166787306,SPY,Historical,103848.43864156249,117577.2920819378,False,0.0,
2024-01-03,2024-01-04,2024-01-04,2024-01-03,0.99,250,13,1.1.0,-27825.367166787306,27825.367166787306,SPY,Parametric Normal,94760.44554392212,108563.68035416689,False,0.0,
