scenario_id,position_id,scenario_name,scenario_type,horizon,factor,asset_class,factor_shock,position_pnl,position_loss,duration_only_pnl
global_equity_selloff,SPY,Global Equity Selloff,hypothetical,instantaneous_multi_factor,SPY_RETURN,US Equity,-0.2,-179800.48745280565,179800.48745280565,-179800.48745280565
global_equity_selloff,QQQ,Global Equity Selloff,hypothetical,instantaneous_multi_factor,QQQ_RETURN,US Equity,-0.2,-87141.92616966924,87141.92616966924,-87141.92616966924
global_equity_selloff,IWM,Global Equity Selloff,hypothetical,instantaneous_multi_factor,IWM_RETURN,US Equity,-0.2,-72616.2453926071,72616.2453926071,-72616.2453926071
global_equity_selloff,EFA,Global Equity Selloff,hypothetical,instantaneous_multi_factor,EFA_RETURN,International Equity,-0.22,-138744.7518466817,138744.7518466817,-138744.7518466817
global_equity_selloff,EEM,Global Equity Selloff,hypothetical,instantaneous_multi_factor,EEM_RETURN,Emerging Markets Equity,-0.25,-89951.66398582865,89951.66398582865,-89951.66398582865
global_equity_selloff,VNQ,Global Equity Selloff,hypothetical,instantaneous_multi_factor,VNQ_RETURN,Real Estate,-0.22,-60812.627333032884,60812.627333032884,-60812.627333032884
global_equity_selloff,AAPL,Global Equity Selloff,hypothetical,instantaneous_multi_factor,AAPL_RETURN,US Equity,-0.2,-35524.6042494767,35524.6042494767,-35524.6042494767
global_equity_selloff,MSFT,Global Equity Selloff,hypothetical,instantaneous_multi_factor,MSFT_RETURN,US Equity,-0.2,-36217.09600750351,36217.09600750351,-36217.09600750351
global_equity_selloff,JPM,Global Equity Selloff,hypothetical,instantaneous_multi_factor,JPM_RETURN,US Equity,-0.2,-36852.33397233917,36852.33397233917,-36852.33397233917
global_equity_selloff,JNJ,Global Equity Selloff,hypothetical,instantaneous_multi_factor,JNJ_RETURN,US Equity,-0.2,-35963.96809338105,35963.96809338105,-35963.96809338105
global_equity_selloff,XOM,Global Equity Selloff,hypothetical,instantaneous_multi_factor,XOM_RETURN,US Equity,-0.2,-36875.73584622409,36875.73584622409,-36875.73584622409
global_equity_selloff,LQD,Global Equity Selloff,hypothetical,instantaneous_multi_factor,LQD_RETURN,Investment Grade Credit,-0.08,-43652.89893635278,43652.89893635278,-43652.89893635278
global_equity_selloff,HYG,Global Equity Selloff,hypothetical,instantaneous_multi_factor,HYG_RETURN,High Yield Credit,-0.15,-54025.70160733893,54025.70160733893,-54025.70160733893
global_equity_selloff,TIP,Global Equity Selloff,hypothetical,instantaneous_multi_factor,TIP_RETURN,Inflation-Linked Bonds,-0.03,-13748.392395428056,13748.392395428056,-13748.392395428056
global_equity_selloff,US2Y,Global Equity Selloff,hypothetical,instantaneous_multi_factor,DGS2_CHANGE,Government Bonds,-0.004,3524.848403126339,-3524.848403126339,3510.0691645388074
global_equity_selloff,US5Y,Global Equity Selloff,hypothetical,instantaneous_multi_factor,DGS5_CHANGE,Government Bonds,-0.005,12564.603053052095,-12564.603053052095,12412.889953618975
global_equity_selloff,US10Y,Global Equity Selloff,hypothetical,instantaneous_multi_factor,DGS10_CHANGE,Government Bonds,-0.005,22695.916080982694,-22695.916080982694,22210.070782613035
